Date,AAPL,MSFT,NVDA,GOOG,META,^GSPC
2026-01-30,259.4800109863281,430.2900085449219,191.1300048828125,338.5299987792969,716.5,6939.02978515625
2026-02-02,270.010009765625,423.3699951171875,185.6100006103516,344.8999938964844,706.4099731445312,6976.43994140625
2026-02-03,269.4800109863281,411.2099914550781,180.33999633789065,340.70001220703125,691.7000122070312,6917.81005859375
2026-02-04,276.489990234375,414.1900024414063,174.19000244140625,333.3399963378906,668.989990234375,6882.72021484375
2026-02-05,275.9100036621094,393.6700134277344,171.8800048828125,331.3299865722656,670.2100219726562,6798.39990234375
2026-02-06,278.1199951171875,401.1400146484375,185.41000366210935,323.1000061035156,661.4600219726562,6932.2998046875
2026-02-09,274.6199951171875,413.6000061035156,190.0399932861328,324.3999938964844,677.219970703125,6964.81982421875
2026-02-10,273.67999267578125,413.2699890136719,188.5399932861328,318.6300048828125,670.719970703125,6941.81005859375
2026-02-11,275.5,404.3699951171875,190.0500030517578,311.3299865722656,668.6900024414062,6941.47021484375
2026-02-12,261.7300109863281,401.8399963378906,186.94000244140625,309.3699951171875,649.8099975585938,6832.759765625
2026-02-13,255.77999877929688,401.3200073242188,182.80999755859372,306.0199890136719,639.77001953125,6836.169921875
2026-02-17,263.8800048828125,396.8599853515625,184.97000122070312,302.82000732421875,639.2899780273438,6843.22021484375
2026-02-18,264.3500061035156,399.6000061035156,187.97999572753903,303.94000244140625,643.219970703125,6881.31005859375
2026-02-19,260.5799865722656,398.4599914550781,187.8999938964844,303.5599975585937,644.780029296875,6861.89013671875
2026-02-20,264.5799865722656,397.2300109863281,189.82000732421875,314.8999938964844,655.6599731445312,6909.509765625
2026-02-23,266.17999267578125,384.4700012207031,191.5500030517578,311.69000244140625,637.25,6837.75
2026-02-24,272.1400146484375,389.0,192.8500061035156,310.9200134277344,639.2999877929688,6890.06982421875
2026-02-25,274.2300109863281,400.6000061035156,195.55999755859372,313.0299987792969,653.6900024414062,6946.1298828125
2026-02-26,272.95001220703125,401.7200012207031,184.88999938964844,307.1499938964844,657.010009765625,6908.85986328125
2026-02-27,264.17999267578125,392.739990234375,177.19000244140625,311.42999267578125,648.1799926757812,6878.8798828125
2026-03-02,264.7200012207031,398.5499877929688,182.47999572753903,306.3599853515625,653.5599975585938,6881.6201171875
2026-03-03,263.75,403.9299926757813,180.0500030517578,303.5599975585937,655.0800170898438,6816.6298828125
2026-03-04,262.5199890136719,405.2000122070313,183.0399932861328,303.45001220703125,667.72998046875,6869.5
2026-03-05,260.2900085449219,410.6799926757813,183.33999633789065,300.9100036621094,660.5700073242188,6830.7099609375
2026-03-06,257.4599914550781,408.9599914550781,177.82000732421875,298.29998779296875,644.8599853515625,6740.02001953125
2026-03-09,259.8800048828125,409.4100036621094,182.6499938964844,306.010009765625,647.3900146484375,6795.990234375
2026-03-10,260.8299865722656,405.760009765625,184.7700042724609,306.92999267578125,654.0700073242188,6781.47998046875
2026-03-11,260.8099975585937,404.8800048828125,186.02999877929688,308.4200134277344,654.8599853515625,6775.7998046875
2026-03-12,255.75999450683597,401.8599853515625,183.13999938964844,303.2099914550781,638.1799926757812,6672.6201171875
2026-03-13,250.1199951171875,395.5499877929688,180.25,301.4599914550781,613.7100219726562,6632.18994140625
2026-03-16,252.82000732421875,399.9500122070313,183.22000122070312,304.4200134277344,627.4500122070312,6699.3798828125
2026-03-17,254.22999572753903,399.4100036621094,181.92999267578125,309.4100036621094,622.6599731445312,6716.08984375
2026-03-18,249.94000244140625,391.7900085449219,180.3999938964844,306.29998779296875,615.6799926757812,6624.7001953125
2026-03-19,248.9600067138672,389.0199890136719,178.55999755859375,305.7300109863281,606.7000122070312,6606.490234375
2026-03-20,247.9900054931641,381.8699951171875,172.6999969482422,298.7900085449219,593.6599731445312,6506.47998046875
2026-03-23,251.4900054931641,383.0,175.63999938964844,299.0199890136719,604.0599975585938,6581.0
2026-03-24,251.63999938964844,372.739990234375,175.1999969482422,289.20001220703125,592.9199829101562,6556.3701171875
2026-03-25,252.6199951171875,371.0400085449219,178.67999267578125,289.5899963378906,594.8900146484375,6591.89990234375
2026-03-26,252.88999938964844,365.9700012207031,171.24000549316406,280.739990234375,547.5399780273438,6477.16015625
2026-03-27,248.8000030517578,356.7699890136719,167.52000427246094,273.760009765625,525.719970703125,6368.85009765625
2026-03-30,246.6300048828125,358.9599914550781,165.1699981689453,273.1400146484375,536.3800048828125,6343.72021484375
2026-03-31,253.7899932861328,370.1700134277344,174.39999389648438,286.8599853515625,572.1300048828125,6528.52001953125
2026-04-01,255.6300048828125,369.3699951171875,175.75,294.8999938964844,579.22998046875,6575.31982421875
2026-04-02,255.9199981689453,373.4599914550781,177.38999938964844,294.4599914550781,574.4600219726562,6582.68994140625
